STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,011-Personal Services-Unclassified,"160,659","163,740","165,372",0,"165,372","165,722",0,"165,722"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,016-Personal Services Non Classifi,"1,013,910","1,394,849","1,330,000",0,"1,330,000","1,330,000",0,"1,330,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,020-Current Expenses,"24,869","45,000","40,000",0,"40,000","40,000",0,"40,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,022-Rents-Leases Other Than State,"2,833","4,500","4,300",0,"4,300","4,300",0,"4,300"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,026-Organizational Dues,"62,764","60,700","63,000",0,"63,000","63,000",0,"63,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,027-Transfers To Oit,"59,544","67,852","66,502",32,"66,534","70,113",18,"70,131"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,030-Equipment New/Replacement,0,"4,500","4,300",0,"4,300","4,300",0,"4,300"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,037-Technology - Hardware,0,"3,500","3,400",0,"3,400","3,400",0,"3,400"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,038-Technology - Software,"1,589","3,500","3,400",0,"3,400","3,400",0,"3,400"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,039-Telecommunications,"20,480","18,800","20,500",0,"20,500","20,500",0,"20,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,049-Transfer to Other State Agenci,0,0,382,0,382,382,0,382
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,060-Benefits,"382,282","486,973","455,000",0,"455,000","455,001",0,"455,001"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,062-Workers Compensation,0,0,"2,624",0,"2,624","2,800",0,"2,800"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,070-In-State Travel Reimbursement,"8,906","20,000","20,000",0,"20,000","20,000",0,"20,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,080-Out-Of State Travel,"26,725","12,000","12,000",0,"12,000","12,000",0,"12,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Funding,00S-General Fund,"1,764,561","2,285,914","2,190,780",32,"2,190,812","2,194,918",18,"2,194,936"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,016-Personal Services Non Classifi,"138,722","219,892","210,000",0,"210,000","210,000",0,"210,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,020-Current Expenses,642,800,700,0,700,700,0,700
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,039-Telecommunications,0,400,300,0,300,300,0,300
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,040-Indirect Costs,"22,384","26,000","43,966",0,"43,966","44,201",0,"44,201"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,060-Benefits,"36,650","78,702","75,000",0,"75,000","75,000",0,"75,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,070-In-State Travel Reimbursement,"2,794","6,000","6,000",0,"6,000","6,000",0,"6,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,080-Out-Of State Travel,"1,105","3,000","3,000",0,"3,000","3,000",0,"3,000"
