Agency Title,Agency Code,Fiscal Year,Effective Date,Account,Account Type,Account Category (Ex),Account Summary (Ex),Goal,Funds,Fund Title,Fund Category,Vendor,Amount,Agency Title
"Agriculture, Department of",210,2024,2023-08-30,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-08-31,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-01,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-05,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-06,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-07,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-08,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-11,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-12,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-13,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-14,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-15,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-18,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-19,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-20,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-21,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
"Agriculture, Department of",210,2024,2023-09-22,433000,Revenue,,,Economic Development,12501,Indirect Cost Recovery-SWCAP: Admin And Accounting Svcs,Other,,0,"Agriculture, Department of"
