STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,011-Personal Services-Unclassified,160659,163740,165372,0,165372,165722,0,165722
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,016-Personal Services Non Classifi,1013910,1394849,1330000,0,1330000,1330000,0,1330000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,020-Current Expenses,24869,45000,40000,0,40000,40000,0,40000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,022-Rents-Leases Other Than State,2833,4500,4300,0,4300,4300,0,4300
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,026-Organizational Dues,62764,60700,63000,0,63000,63000,0,63000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,027-Transfers To Oit,59544,67852,66502,32,66534,70113,18,70131
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,030-Equipment New/Replacement,0,4500,4300,0,4300,4300,0,4300
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,037-Technology - Hardware,0,3500,3400,0,3400,3400,0,3400
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,038-Technology - Software,1589,3500,3400,0,3400,3400,0,3400
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,039-Telecommunications,20480,18800,20500,0,20500,20500,0,20500
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,049-Transfer to Other State Agenci,0,0,382,0,382,382,0,382
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,060-Benefits,382282,486973,455000,0,455000,455001,0,455001
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,062-Workers Compensation,0,0,2624,0,2624,2800,0,2800
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,070-In-State Travel Reimbursement,8906,20000,20000,0,20000,20000,0,20000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,080-Out-Of State Travel,26725,12000,12000,0,12000,12000,0,12000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Funding,00S-General Fund,1764561,2285914,2190780,32,2190812,2194918,18,2194936
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Position,FTE2-Unclassified Positions,1,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,016-Personal Services Non Classifi,138722,219892,210000,0,210000,210000,0,210000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,020-Current Expenses,642,800,700,0,700,700,0,700
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,039-Telecommunications,0,400,300,0,300,300,0,300
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,040-Indirect Costs,22384,26000,43966,0,43966,44201,0,44201
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,060-Benefits,36650,78702,75000,0,75000,75000,0,75000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,070-In-State Travel Reimbursement,2794,6000,6000,0,6000,6000,0,6000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,080-Out-Of State Travel,1105,3000,3000,0,3000,3000,0,3000
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,009-Agency Income,197756,324594,328966,0,328966,329201,0,329201
