STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,011-Personal Services-Unclassified,"145,612","153,780","147,432","147,432"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,016-Personal Services Non Classifi,"1,081,170","1,149,558","1,296,000","1,296,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,020-Current Expenses,"26,521","45,000","45,000","45,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,022-Rents-Leases Other Than State,"4,365","3,500","4,500","4,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,026-Organizational Dues,"60,700","60,700","60,700","60,700"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,027-Transfers To Oit,"43,254","47,442","61,999","66,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,030-Equipment New/Replacement,"1,537","4,000","5,000","4,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,037-Technology - Hardware,"1,600","3,000","4,000","3,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,038-Technology - Software,"1,600","3,000","4,000","3,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,039-Telecommunications,"18,548","15,500","18,800","18,800"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,060-Benefits,"389,867","399,477","473,137","473,107"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,070-In-State Travel Reimbursement,"9,693","18,000","20,000","20,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Expense,080-Out-Of State Travel,"3,517","10,000","12,000","12,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Funding,001-Transfer from Other Agencies,"-15,000",0,"-15,000","-15,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Funding,00D-Fed Rev Xfers from Other Agencies,"-11,058",0,0,0
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Funding,00S-General Fund,"-1,761,926","-1,912,957","-2,137,568","-2,140,039"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,10360000-OFFICE OF THE GOVERNOR,Position,FTE2-Unclassified Positions,1,1,1,1
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,016-Personal Services Non Classifi,"137,934","203,918","204,000","204,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,020-Current Expenses,706,400,800,800
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,039-Telecommunications,0,400,400,400
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,040-Indirect Costs,"26,000","26,000","26,000","26,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,060-Benefits,"29,429","77,463","77,500","77,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,070-In-State Travel Reimbursement,"2,181","10,000","6,000","6,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Expense,080-Out-Of State Travel,"2,758","1,000","3,000","3,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,009-Agency Income,"-199,008","-314,920","-307,500","-307,500"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,EXO020010-EXECUTIVE OFFICE,010-General Fund,24110000-OFF SUBST USE DISRDS/BEHVL HLT,Funding,00S-General Fund,0,"-4,261","-10,200","-10,200"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,010-Personal Services-Perm. Classi,"136,977","211,434","200,020","204,234"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,011-Personal Services-Unclassified,"94,660","101,724","96,213","96,211"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,020-Current Expenses,"2,533","12,021","6,115","6,115"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,021-Food for Institutions and Depts,0,"4,000",0,0
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,022-Rents-Leases Other Than State,"1,572","1,972","1,800","1,800"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,026-Organizational Dues,134,360,200,200
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,027-Transfers To Oit,"7,092","9,209","13,667","13,093"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,028-Transfers to Plant & Property,940,"1,054","1,284","1,332"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,030-Equipment New/Replacement,0,50,"3,500","2,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,037-Technology - Hardware,0,"2,000","2,000","2,000"
01-GENERAL GOVERNMENT,00002-EXECUTIVE DEPT,002-EXECUTIVE DEPT,GCD020510-GOVS COMM ON DISABILITY,010-General Fund,10040000-COMMISSION ON DISABILITY,Expense,038-Technology - Software,0,0,800,800
