TOWN OFFICERS,,,,,,,,,
TOS-Selectmen/Salaries,,,"$ 15,300.00",,,,,,
TOS-Treasurer/Salary,,,"$ 5,037.84",,,,,,
TOS-Medicare,,,$ 295.20,,,,,,
TOS-Fica,,,"$ 1,260.96",,,,,,
TOE-Employee Education,,,$                        -,,,,,,
TOE-Mailer/Town Meeting,,,"$ 1,691.00",,,,,,
TOE-Town Report,,,"$ 3,571.00",,,,,,
TOE-Hosted Email (Townwide),,,"$ 9,923.74",,,,,,
TOE-Office Supplies,,,"$ 6,581.08",,,,,,
TOE-Managed IT Services,,,"$ 32,340.00",,,,,,
TOE-Photocopier Service,,,"$ 9,279.22",,,,,,
TOE-Postage,,,"$ 5,051.82",,,,,,
TOE-Postage Meter Service,,,"$ 2,332.20",,,,,,
TOE-Books/Updates,,,$ 334.31,,,,,,
TOE-Misc. Fees/Recording Fees,,,$ 250.00,,,,,,
TOE-One-time Purchase,,,"$ 17,500.00",,,,,,
TOTAL TOWN OFFICERS,,,"$ 110,748.37",,,,,,
ASSESSING (CONT'D),,,,,,,,,
Assessing-NHRS,,,"$ 6,213.95",,,,,,
Assessing-Tax Map Maintenance,,,"$ 3,200.00",,,,,,
Assessing-Telephone,,,$ 284.19,,,,,,
Assessing-Recording Fees,,,$ 75.00,,,,,,
Assessing-Life Ins.,,,$ 55.20,,,,,,
Assessing-Seminars/Training,,,$ 35.00,,,,,,
Assessing-Dues,,,$ 20.00,,,,,,
Assessing-Mileage,,,$ 60.92,,,,,,
Assessing-Avitar Contract,,,"$ 99,252.00",,,,,,
Assessing-Tax Card Online,,,"$ 2,400.00",,,,,,
Assessing-Office Supplies,,,$ 925.22,,,,,,
Assessing-Software Support,,,"$ 4,700.00",,,,,,
Assessing-Office Equipment,,,$                        -,,,,,,
Assessing-Postage,,,$ 69.63,,,,,,
TOTAL ASSESSING,,,"$ 180,964.00",,,,,,
LEGAL EXPENSES,,,,,,,,,
Legal-Fees,,,"$ 26,292.84",,,,,,
Legal-Labor Relations,,,"$ 22,211.51",,,,,,
Legal-Planning Board,,,$                        -,,,,,,
Legal-ZBA,,,"$ 3,653.50",,,,,,
TOTAL LEGAL EXPENSES,,,"$ 52,157.85",,,,,,
ELECTIONS,,,,,,,,,
Elec/Reg-Wages,,$ 720.00,,,,,,,
Elec/Reg-Town Meeting,,$ 300.00,,,,,,,
Elec/Reg-Food,,$ 350.00,,,,,,,
Elec/Reg-Printing,,"$ 4,008.77",,,,,,,
Elec/Reg-Mileage,,$                        -,,,,,,,
Elec/Reg-Office Supplies,,$ 75.00,,,,,,,
Elec/Reg-Software Support,,$ 350.00,,,,,,,
Elec/Reg-Postage,,$ 69.39,,,,,,,
Elec/Reg-One Time Purchase,,"$ 7,000.00",,,,,,,
TOTAL ELECTIONS,,"$ 12,873.16",,,,,,,
FINANCE ADMINISTRATOR,,,,,,,,,
Finance Admin-Salary,,,,,,"$ 74,520.00",,,
Finance Admin-Health Insurance,,,,,,"$ 20,924.34",,,
Finance Admin-Medicare,,,,,,$ 819.92,,,
Finance Admin-Fica,,,,,,"$ 3,505.34",,,
Finance Admin-NHRS,,,,,,"$ 10,270.20",,,
Finance Admin-Telephone,,,,,,$ 223.33,,,
Finance Admin-Life Ins,,,,,,$ 55.20,,,
Finance Admin-Meetings/Seminar,,,,,,$ 233.62,,,
Finance Admin-Dues,,,,,,$ 35.00,,,
Finance Admin-Office Supplies,,,,,,"$ 1,350.92",,,
Finance Admin-Software Support,,,,,,"$ 8,866.31",,,
TOTAL FINANCE ADMINISTRATOR,,,,,,"$ 120,804.18",,,
TAX COLLECTOR,,,,,,,,,
Tax Coll-Wages/Hourly,,,"$ 21,688.66",,,,,,
Tax Coll-Medicare,,,$ 312.38,,,,,,
Tax Coll-Fica,,,"$ 1,335.81",,,,,,
Tax Coll-NHRS,,,"$ 2,987.83",,,,,,
Tax Coll-Title Deed Search,,,$ 605.00,,,,,,
Tax Coll-Telephone,,,$ 232.78,,,,,,
Tax Coll-Recording Fees,,,"$ 1,238.92",,,,,,
Tax Coll-Life Ins.,,,$ 13.80,,,,,,
Tax Coll-Meetings/Seminars,,,$ 632.00,,,,,,
Tax Coll-Dues/Subscriptions,,,$ 100.00,,,,,,
Tax Coll-Mileage,,,$ 191.92,,,,,,
Tax Coll-Office Supplies,,,$ 510.59,,,,,,
Tax Coll-Tax Billing Supplies,,,"$ 1,388.78",,,,,,
Tax Coll-Software Support,,,"$ 4,904.00",,,,,,
Tax Coll-Office Equip,,,$                        -,,,,,,
Tax Coll-Postage,,,"$ 6,147.89",,,,,,
TOTAL TAX COLLECTOR,,,"$ 42,290.36",,,,,,
TOWN CLERK,,,,,,,,,
Town Clerk-Longevity Bonus,,,,,"$ 1,000.00",,,,
Town Clerk-Qtrly Insurance Buyout,,,,,"$ 5,500.00",,,,
Town Clerk-Salary,,,,,"$ 59,701.88",,,,
Town Clerk-Wages/Hourly,,,,,"$ 44,183.63",,,,
Town Clerk-Health Insurance,,,,,"$ 15,499.50",,,,
Town Clerk-Medicare,,,,,"$ 1,458.85",,,,
Town Clerk-Fica,,,,,"$ 6,238.16",,,,
Town Clerk-NHRS,,,,,"$ 14,456.57",,,,
Town Clerk-Telephone,,,,,$ 559.86,,,,
Town Clerk-Life Ins.,,,,,$ 110.40,,,,
Town Clerk-Seminars/Training,,,,,$ 678.54,,,,
Town Clerk-Dues,,,,,$ 20.00,,,,
Town Clerk-Mileage,,,,,$ 174.23,,,,
Town Clerk-Safety Deposit Box,,,,,$ 220.00,,,,
Town Clerk-Dog License/Tags,,,,,$ 519.05,,,,
Town Clerk-Office Supplies,,,,,"$ 1,322.94",,,,
ASSESSING,,,,,,,,,
Assessing-Wages/Hourly,,,"$ 45,085.64",,,,,,
